catalog,group,name
1141,535,100 динар
1142,535,100 динар
1143,535,100 динар
1144,535,1000 динар
1145,535,1000 динар
1148,535,2 динара
1152,535,2 динара
1153,535,2 динара
1154,535,2 динара
1158,535,20 динар
1160,535,20 динар
1161,535,20 динар
1162,535,20 динар
1163,535,20 пар
1166,535,25 пар
1167,535,25 пар
1168,535,5 динар
1171,535,5 динар
1173,535,5 динар
1174,535,5 пар
1176,535,50 динар
1177,535,50 динар
1178,535,50 динар
1179,535,50 динар
1180,535,50 динар
1181,535,50 динар
1184,535,50 пар
1185,535,50 пар
1187,535,50 пар
1189,535,500 динар
1191,535,5000 динар
1192,785,1 талер
1193,541,1 крона
1194,541,1 крона
1195,541,1 сент
1196,541,10 марок
1197,541,100 крон
1198,541,10 сенти
1199,541,10 сенти
1200,541,2 кроны
1201,541,2 кроны
1202,541,2 сенти
1203,541,20 сенти
1204,541,3 марки
1205,541,5 марок
1206,541,5 сенти
1207,541,5 сенти
1208,541,50 сенти
1209,869,2/3 талера
1213,805,16 грош
1214,805,2 пфеннига
1219,808,1 талер
1220,808,16 грош
1224,395,100 эскудо
1225,395,20 рейс
1226,395,25 эскудо
1227,362,1 флорин
1228,728,6000 франков
1229,366,1 флорин
1230,366,10 центов
1231,366,2 1/2 флорина
1232,366,25 флоринов
1234,366,25 флоринов
1236,366,25 центов
1237,366,5 центов
1238,366,50 центов
1239,880,4 доллара
1243,387,1 доллар
1244,387,1 доллар
1246,387,1 доллар
1247,387,1 доллар
1252,387,1 доллар
1253,387,1 доллар
1255,387,1 доллар
1265,387,1 доллар
1268,387,1 доллар
1269,387,1 доллар
1271,387,1 доллар
1278,387,1 доллар
1281,387,1 доллар
1282,387,1 доллар
1284,387,1 доллар
1285,387,1 доллар
1286,387,1 доллар
1287,387,1/2 доллара
1288,387,1 доллар
1289,387,1 доллар
1293,387,1 цент
1295,387,1 цент
1297,387,3 цента
1298,387,5 центов
1299,387,5 центов
1300,387,5 центов
1301,387,5 центов
1302,387,5 центов
1303,387,5 центов
1304,387,5 центов
1305,387,5 центов
1306,387,5 центов
1307,387,50 центов
1310,754,1 стивер
1313,517,1 сен
1316,517,1 сен
1317,517,1 йена
1320,517,10 йен
1323,517,10 сен
1325,517,10 сен
1327,517,10 сен
1329,517,10 сен
1331,517,10 йен
1337,461,2 1/2 цента
1340,461,1 пенни
1341,461,1 пенни
1343,461,1 пенни
1345,461,1 пенни
1347,461,1 ранд
1350,461,1 ранд
